num_points,volume,eig1,eig2,eig3,label
7590,20.428905153238297,2.319893729195519,1.3306077369135991,3.7754172810247325e-05,wall
7576,18.27151204024972,2.0381585790420433,0.9700841086202208,3.189731377898586e-05,wall
7566,12.94629911240023,2.035779215232185,0.9355635812727041,3.7739906251032184e-05,wall
7549,20.984123755297908,2.329053902352121,1.2340745194140028,3.5286303234413904e-05,wall
7555,20.627823651864944,2.3533752429083923,3.633486969132076e-05,1.266915970774186,wall
7296,14.408391711573369,1.9885896546576758,0.8776600483608087,3.5208882986702966e-05,wall
7457,18.654418430343288,2.109198669737075,1.0633383406959578,3.9594812096806686e-05,wall
7550,20.655487546377007,2.1914289682726507,1.242910914246657,4.0482756328979524e-05,wall
7562,20.7493469784587,2.316877013927533,1.190924961116823,3.382552370896169e-05,wall
7416,19.54490611344014,2.203946408650661,1.2791052058855525,3.831643735974945e-05,wall
7418,19.74641624241999,2.195883894814858,1.291188714998404,4.039179636031498e-05,wall
7375,20.287685390901036,2.1982215061880046,1.21862544749954,3.9057192057566176e-05,wall
7468,20.88389168771679,2.339310568065988,1.2476390133045658,3.900694382443056e-05,wall
7524,20.39250436984755,2.302268719233412,1.294977109564708,4.128562449743148e-05,wall
7582,20.804973106006003,2.221353357075795,1.1847546706466776,3.601554727284242e-05,wall
7492,20.319872254963773,2.2413734895213624,1.3211690537398268,3.996041937150562e-05,wall
7469,14.428408055774993,2.012191367608027,0.927363501816075,3.2674467609447704e-05,wall
7556,18.193365995131348,2.047320649250355,1.0051270489216249,3.5142887606016596e-05,wall
7481,14.475338557879187,1.90171743478855,0.9359556212082655,3.874017090355584e-05,wall
7550,18.401939415510984,2.0714108424557924,1.0273126113809843,3.850338600675633e-05,wall
7568,20.68947983877582,2.2868972568416956,1.3515999555613933,4.0301867880983184e-05,wall
7705,20.82779586185033,2.3083854843438383,1.3354431832998888,3.9762133153694644e-05,wall
7412,10.045903620978212,2.0953410214522785,0.8704637618893974,3.167441572138352e-05,wall
7495,19.620833366739188,2.044499947726127,0.9265741514272605,2.719754861459073e-05,wall
7623,20.91882592606166,2.2831985913481905,1.2721550834108817,3.949880047836884e-05,wall
7521,21.17995614322823,2.096614756187703,1.1844304573509667,4.024062480718611e-05,wall
7481,20.315514830107436,2.1866964662241095,1.3045088914522507,3.945764385621513e-05,wall
7643,20.829390027034222,2.305619306106756,1.2811160248405862,3.711784963249388e-05,wall
7548,20.803603551510793,2.2603496127615608,1.2935758900396994,3.789701980033904e-05,wall
7351,18.631124743512956,2.134416193454284,1.009247893249855,3.843846215893884e-05,wall
7588,21.208672764475775,2.2531617678923928,4.1595021419179646e-05,1.2734358526129264,wall
7591,21.137675422944454,2.1925092628631733,1.2128990650286389,4.028130019498541e-05,wall
7558,20.291956395497248,2.2584393645651355,1.1776525876364639,3.63911252474926e-05,wall
7622,20.68290289774641,2.3842799550963933,1.3246122580906055,3.808484318586756e-05,wall
7496,16.571026817073207,2.0224735225352926,1.0185452252911875,3.402742366570939e-05,wall
7571,20.829878600919486,2.315355906447854,1.2752234014974722,3.840047852465076e-05,wall
7533,21.113980964667075,2.1389486839921137,1.1691207389717315,4.1576719566358304e-05,wall
7516,14.444490186839161,2.035573029628652,0.9232092789755778,3.355708299076368e-05,wall
7472,18.71400916460102,2.111789531957232,1.0340531009919538,4.029883091231811e-05,wall
7471,19.398794106310877,2.23137584453619,1.2887802461650428,4.0266859464618605e-05,wall
7457,20.659440016829098,2.324287989145893,1.0941015971606394,3.0394217962000103e-05,wall
7609,20.7112196769964,2.2924800489943467,1.3144459938483504,3.845867019564069e-05,wall
7597,20.659309472885298,2.25831022454369,1.216745274567359,3.5474441276805894e-05,wall
7594,20.67245139530997,2.15914614444877,1.1712837703988321,3.1925650736174984e-05,wall
7565,20.859094365431044,2.30660823325205,3.703318855794413e-05,1.2666327253692553,wall
7471,20.654043748718088,2.344700155715672,1.261684545635686,3.6858069031033736e-05,wall
7281,14.44541386491092,2.0534048920479333,0.8540326904567744,3.5193238747187574e-05,wall
7337,17.450295695119028,2.0691323591648603,0.8732408009777101,3.366460669497455e-05,wall
7449,20.74735431530582,2.3877047229376434,1.3242856648191903,3.612105923787873e-05,wall
7621,20.34604089216137,2.3402297421097273,1.3198299448030104,3.87450663649272e-05,wall
7504,14.331145261683456,2.0172259632832916,0.8983170891975021,3.406859667872147e-05,wall
7508,20.588118111034692,2.335485635446133,1.2017102566022277,3.368764239989803e-05,wall
7582,20.565858607885136,2.2425448163518613,1.3089808384268953,3.738000435505929e-05,wall
7596,20.524425210872362,2.279732032156449,1.2319677585273126,3.822727035909601e-05,wall
7305,10.82865426070718,2.0060695356849267,0.8575662022319145,3.638921657192607e-05,wall
7528,20.72765268662794,2.2278853221714896,1.2161688582881636,3.7569050216987434e-05,wall
7412,21.05152817589376,2.1040847736322976,1.2416053014764137,4.016202782682133e-05,wall
7648,20.209841603636658,2.3337131430412033,1.3224298926219475,4.04782416996292e-05,wall
7418,20.500755549250616,2.38533137083611,1.3203914636416367,3.776172824363952e-05,wall
7570,20.69164353543839,2.2954855776057967,1.230004003644501,3.6795434822610145e-05,wall
7530,20.90995268708762,2.2093178886750438,1.1391895939715957,3.510261680417754e-05,wall
7490,20.768712662838446,2.1916199050217138,1.249880418013372,3.7811559739499984e-05,wall
7452,20.452297413605677,2.2913786124726654,1.2746320244369826,3.760893995991621e-05,wall
7424,20.473900869648652,2.160014132589061,1.0928110630512529,3.1240236021802314e-05,wall
7600,20.766550033966375,2.291968579660229,3.4048704533268636e-05,1.2341275217505845,wall
7623,21.03519549098475,2.3417822784922233,1.3293623069950586,3.8093766620865106e-05,wall
7454,18.859347683442873,2.150836211706774,1.2024564493136056,4.4226052516643384e-05,wall
7624,20.94278569081395,2.2851826686506724,1.2718334783680754,4.0734903635808263e-05,wall
7590,17.295660316039807,2.0540780891115586,0.9199430240257782,3.2815942419507975e-05,wall
7470,20.478700051005834,2.375051505971589,1.2161834139367038,3.505940746563393e-05,wall
7610,20.261048640863713,2.3314166572811077,1.236012410388297,3.8370729659522385e-05,wall
7505,20.344474245990465,2.2967887079172744,1.254506150409903,3.7735257496599344e-05,wall
7663,20.49565722811435,2.33810288890764,1.3385156032781835,3.911150145166895e-05,wall
7358,18.312662792925924,2.160168415099306,1.1709503910728358,3.7315290472724654e-05,wall
7522,20.343057523194208,2.3251720714155377,1.1848026471388629,3.592113480453823e-05,wall
7564,17.898948058647385,2.0717971178923906,0.9643559481684978,3.3729504486218386e-05,wall
7606,20.543180304927205,2.2906250799109698,1.1138729133468945,3.275647439228748e-05,wall
7451,19.747702919846812,2.1274660588952283,1.2541191949073682,4.135048371872587e-05,wall
7613,18.268451544593415,2.1200772258144003,1.2658557774194623,3.634629275363763e-05,wall
7507,20.73313402883111,2.3063531461972957,1.2110146668241322,3.626317092141156e-05,wall
7612,21.08776994091325,2.100366165030313,1.0333348744499238,4.0538714654543955e-05,wall
7538,20.53566953557528,2.3661962221683135,3.740639553151829e-05,1.2819801349808033,wall
7628,20.743223789372102,2.292330676924852,1.183946497070236,3.7629431450001616e-05,wall
7566,20.22858663123892,2.285843023555753,1.2639921508995937,3.7814190382334423e-05,wall
7443,19.713508898485994,2.1730733609653585,1.2575241071564935,3.79473307884452e-05,wall
7520,17.30471129158292,2.095653574820767,0.9302646378708297,3.137953360300999e-05,wall
7509,14.437848320001773,2.023779265637004,0.904832201833434,3.401932267689731e-05,wall
7372,19.627643681850202,2.1932886671552305,1.1680651101118376,3.466254519137919e-05,wall
7662,20.529827082488993,2.3807611751031477,1.2289328589028166,3.516876227355636e-05,wall
7385,17.36164395072399,2.0673028474617707,0.8945829592114476,3.5885887621400113e-05,wall
7575,10.564299810712932,2.0487950987228714,0.9252837739269801,3.191083326314668e-05,wall
7562,19.860407541491128,2.09729391572895,0.9329425617023289,2.9608898565479794e-05,wall
7507,20.513099102114754,2.3708330469273733,1.2177360699980129,3.399070431205782e-05,wall
7555,20.522465353352466,2.375579228598067,1.1910311822424682,3.253873493682103e-05,wall
7573,20.70393857701901,2.266841099196011,1.316693061590305,3.93802164180978e-05,wall
