input,n_points,np_path,ply_path,status,error
docs/Pruebas_posicion_2/1758208496.576145172.pcd,12750,data/preprocessed/1758208496.576145172.npy,data/preprocessed/1758208496.576145172.ply,ok,
docs/Pruebas_posicion_2/1758208496.675679207.pcd,12702,data/preprocessed/1758208496.675679207.npy,data/preprocessed/1758208496.675679207.ply,ok,
docs/Pruebas_posicion_2/1758208496.376148224.pcd,12756,data/preprocessed/1758208496.376148224.npy,data/preprocessed/1758208496.376148224.ply,ok,
docs/Pruebas_posicion_2/1758208496.975566387.pcd,12673,data/preprocessed/1758208496.975566387.npy,data/preprocessed/1758208496.975566387.ply,ok,
docs/Pruebas_posicion_2/1758208496.776265383.pcd,12589,data/preprocessed/1758208496.776265383.npy,data/preprocessed/1758208496.776265383.ply,ok,
docs/Pruebas_posicion_2/1758208497.076095343.pcd,12714,data/preprocessed/1758208497.076095343.npy,data/preprocessed/1758208497.076095343.ply,ok,
docs/Pruebas_posicion_2/1758208496.876088381.pcd,12624,data/preprocessed/1758208496.876088381.npy,data/preprocessed/1758208496.876088381.ply,ok,
docs/Pruebas_posicion_2/1758208497.175473213.pcd,12662,data/preprocessed/1758208497.175473213.npy,data/preprocessed/1758208497.175473213.ply,ok,
docs/Pruebas_posicion_2/1758208497.476489305.pcd,12739,data/preprocessed/1758208497.476489305.npy,data/preprocessed/1758208497.476489305.ply,ok,
docs/Pruebas_posicion_2/1758208497.375774384.pcd,12752,data/preprocessed/1758208497.375774384.npy,data/preprocessed/1758208497.375774384.ply,ok,
docs/Pruebas_posicion_2/1758208497.276115179.pcd,12727,data/preprocessed/1758208497.276115179.npy,data/preprocessed/1758208497.276115179.ply,ok,
docs/Pruebas_posicion_2/1758208497.581771374.pcd,12673,data/preprocessed/1758208497.581771374.npy,data/preprocessed/1758208497.581771374.ply,ok,
docs/Pruebas_posicion_2/1758208497.875730276.pcd,12654,data/preprocessed/1758208497.875730276.npy,data/preprocessed/1758208497.875730276.ply,ok,
docs/Pruebas_posicion_2/1758208497.775958300.pcd,12584,data/preprocessed/1758208497.775958300.npy,data/preprocessed/1758208497.775958300.ply,ok,
docs/Pruebas_posicion_2/1758208497.676496267.pcd,12643,data/preprocessed/1758208497.676496267.npy,data/preprocessed/1758208497.676496267.ply,ok,
docs/Pruebas_posicion_2/1758208498.075749159.pcd,12526,data/preprocessed/1758208498.075749159.npy,data/preprocessed/1758208498.075749159.ply,ok,
docs/Pruebas_posicion_2/1758208497.976292372.pcd,12504,data/preprocessed/1758208497.976292372.npy,data/preprocessed/1758208497.976292372.ply,ok,
docs/Pruebas_posicion_2/1758208498.275796175.pcd,12709,data/preprocessed/1758208498.275796175.npy,data/preprocessed/1758208498.275796175.ply,ok,
docs/Pruebas_posicion_2/1758208498.177238226.pcd,12677,data/preprocessed/1758208498.177238226.npy,data/preprocessed/1758208498.177238226.ply,ok,
docs/Pruebas_posicion_2/1758208498.576130390.pcd,12744,data/preprocessed/1758208498.576130390.npy,data/preprocessed/1758208498.576130390.ply,ok,
docs/Pruebas_posicion_2/1758208498.376175165.pcd,12652,data/preprocessed/1758208498.376175165.npy,data/preprocessed/1758208498.376175165.ply,ok,
docs/Pruebas_posicion_2/1758208498.675614357.pcd,12718,data/preprocessed/1758208498.675614357.npy,data/preprocessed/1758208498.675614357.ply,ok,
docs/Pruebas_posicion_2/1758208498.476408243.pcd,12604,data/preprocessed/1758208498.476408243.npy,data/preprocessed/1758208498.476408243.ply,ok,
docs/Pruebas_posicion_2/1758208498.876074314.pcd,12702,data/preprocessed/1758208498.876074314.npy,data/preprocessed/1758208498.876074314.ply,ok,
docs/Pruebas_posicion_2/1758208499.075779200.pcd,12749,data/preprocessed/1758208499.075779200.npy,data/preprocessed/1758208499.075779200.ply,ok,
docs/Pruebas_posicion_2/1758208498.976126194.pcd,12774,data/preprocessed/1758208498.976126194.npy,data/preprocessed/1758208498.976126194.ply,ok,
docs/Pruebas_posicion_2/1758208498.776111364.pcd,12646,data/preprocessed/1758208498.776111364.npy,data/preprocessed/1758208498.776111364.ply,ok,
docs/Pruebas_posicion_2/1758208499.476687193.pcd,12637,data/preprocessed/1758208499.476687193.npy,data/preprocessed/1758208499.476687193.ply,ok,
docs/Pruebas_posicion_2/1758208499.376419306.pcd,12766,data/preprocessed/1758208499.376419306.npy,data/preprocessed/1758208499.376419306.ply,ok,
docs/Pruebas_posicion_2/1758208499.176254272.pcd,12734,data/preprocessed/1758208499.176254272.npy,data/preprocessed/1758208499.176254272.ply,ok,
docs/Pruebas_posicion_2/1758208499.275884390.pcd,12697,data/preprocessed/1758208499.275884390.npy,data/preprocessed/1758208499.275884390.ply,ok,
docs/Pruebas_posicion_2/1758208499.875980377.pcd,12915,data/preprocessed/1758208499.875980377.npy,data/preprocessed/1758208499.875980377.ply,ok,
docs/Pruebas_posicion_2/1758208499.675939322.pcd,12809,data/preprocessed/1758208499.675939322.npy,data/preprocessed/1758208499.675939322.ply,ok,
docs/Pruebas_posicion_2/1758208499.575439215.pcd,12561,data/preprocessed/1758208499.575439215.npy,data/preprocessed/1758208499.575439215.ply,ok,
docs/Pruebas_posicion_2/1758208499.775417328.pcd,12871,data/preprocessed/1758208499.775417328.npy,data/preprocessed/1758208499.775417328.ply,ok,
docs/Pruebas_posicion_2/1758208499.975440264.pcd,12709,data/preprocessed/1758208499.975440264.npy,data/preprocessed/1758208499.975440264.ply,ok,
docs/Pruebas_posicion_2/1758208500.076034307.pcd,12857,data/preprocessed/1758208500.076034307.npy,data/preprocessed/1758208500.076034307.ply,ok,
docs/Pruebas_posicion_2/1758208500.276584387.pcd,12928,data/preprocessed/1758208500.276584387.npy,data/preprocessed/1758208500.276584387.ply,ok,
docs/Pruebas_posicion_2/1758208500.175746202.pcd,13028,data/preprocessed/1758208500.175746202.npy,data/preprocessed/1758208500.175746202.ply,ok,
docs/Pruebas_posicion_2/1758208500.375804186.pcd,12846,data/preprocessed/1758208500.375804186.npy,data/preprocessed/1758208500.375804186.ply,ok,
docs/Pruebas_posicion_2/1758208500.476279259.pcd,12809,data/preprocessed/1758208500.476279259.npy,data/preprocessed/1758208500.476279259.ply,ok,
docs/Pruebas_posicion_2/1758208500.576530218.pcd,12919,data/preprocessed/1758208500.576530218.npy,data/preprocessed/1758208500.576530218.ply,ok,
docs/Pruebas_posicion_2/1758208500.675560236.pcd,12849,data/preprocessed/1758208500.675560236.npy,data/preprocessed/1758208500.675560236.ply,ok,
docs/Pruebas_posicion_2/1758208501.075614214.pcd,12904,data/preprocessed/1758208501.075614214.npy,data/preprocessed/1758208501.075614214.ply,ok,
docs/Pruebas_posicion_2/1758208500.776184320.pcd,12826,data/preprocessed/1758208500.776184320.npy,data/preprocessed/1758208500.776184320.ply,ok,
docs/Pruebas_posicion_2/1758208500.875517368.pcd,12937,data/preprocessed/1758208500.875517368.npy,data/preprocessed/1758208500.875517368.ply,ok,
docs/Pruebas_posicion_2/1758208500.975988388.pcd,12916,data/preprocessed/1758208500.975988388.npy,data/preprocessed/1758208500.975988388.ply,ok,
docs/Pruebas_posicion_2/1758208501.475759268.pcd,12960,data/preprocessed/1758208501.475759268.npy,data/preprocessed/1758208501.475759268.ply,ok,
docs/Pruebas_posicion_2/1758208501.176210165.pcd,12861,data/preprocessed/1758208501.176210165.npy,data/preprocessed/1758208501.176210165.ply,ok,
docs/Pruebas_posicion_2/1758208501.376353264.pcd,13041,data/preprocessed/1758208501.376353264.npy,data/preprocessed/1758208501.376353264.ply,ok,
